Algorithm,DataSize,ExecutionType,ThreadCount,AverageTime
MERGE_SORT,300,Serial,1,367295
MERGE_SORT,300,Parallel,4,46940804
MERGE_SORT,300,Parallel,6,51754608
MERGE_SORT,300,Parallel,8,43030831
MERGE_SORT,400,Serial,1,63792
MERGE_SORT,400,Parallel,4,51851982
MERGE_SORT,400,Parallel,6,48913217
MERGE_SORT,400,Parallel,8,47131296
MERGE_SORT,500,Serial,1,54968
MERGE_SORT,500,Parallel,4,58968090
MERGE_SORT,500,Parallel,6,59981804
MERGE_SORT,500,Parallel,8,59306403
MERGE_SORT,600,Serial,1,57175
MERGE_SORT,600,Parallel,4,72762155
MERGE_SORT,600,Parallel,6,74907954
MERGE_SORT,600,Parallel,8,75286593
MERGE_SORT,700,Serial,1,95357
MERGE_SORT,700,Parallel,4,88530487
MERGE_SORT,700,Parallel,6,90922975
MERGE_SORT,700,Parallel,8,90259264
SELECTION_SORT,300,Serial,1,445977
SELECTION_SORT,300,Parallel,4,14560787
SELECTION_SORT,300,Parallel,6,12692462
SELECTION_SORT,300,Parallel,8,11958538
SELECTION_SORT,400,Serial,1,154326
SELECTION_SORT,400,Parallel,4,17057862
SELECTION_SORT,400,Parallel,6,15558764
SELECTION_SORT,400,Parallel,8,15445069
SELECTION_SORT,500,Serial,1,99287
SELECTION_SORT,500,Parallel,4,20235864
SELECTION_SORT,500,Parallel,6,19411051
SELECTION_SORT,500,Parallel,8,19570550
SELECTION_SORT,600,Serial,1,133653
SELECTION_SORT,600,Parallel,4,24234390
SELECTION_SORT,600,Parallel,6,23584804
SELECTION_SORT,600,Parallel,8,24191275
SELECTION_SORT,700,Serial,1,228190
SELECTION_SORT,700,Parallel,4,27043743
SELECTION_SORT,700,Parallel,6,29226896
SELECTION_SORT,700,Parallel,8,30159477
INSERTION_SORT,300,Serial,1,349743
INSERTION_SORT,300,Parallel,4,12973143
INSERTION_SORT,300,Parallel,6,12311567
INSERTION_SORT,300,Parallel,8,11658055
INSERTION_SORT,400,Serial,1,126200
INSERTION_SORT,400,Parallel,4,15664347
INSERTION_SORT,400,Parallel,6,17096652
INSERTION_SORT,400,Parallel,8,15860947
INSERTION_SORT,500,Serial,1,114903
INSERTION_SORT,500,Parallel,4,19583804
INSERTION_SORT,500,Parallel,6,21733793
INSERTION_SORT,500,Parallel,8,19577920
INSERTION_SORT,600,Serial,1,34859
INSERTION_SORT,600,Parallel,4,24517847
INSERTION_SORT,600,Parallel,6,24167897
INSERTION_SORT,600,Parallel,8,24319536
INSERTION_SORT,700,Serial,1,43770
INSERTION_SORT,700,Parallel,4,27628220
INSERTION_SORT,700,Parallel,6,28954051
INSERTION_SORT,700,Parallel,8,27517564
BUBBLE_SORT,300,Serial,1,588480
BUBBLE_SORT,300,Parallel,4,12222305
BUBBLE_SORT,300,Parallel,6,13759857
BUBBLE_SORT,300,Parallel,8,11650952
BUBBLE_SORT,400,Serial,1,267330
BUBBLE_SORT,400,Parallel,4,16303154
BUBBLE_SORT,400,Parallel,6,16546420
BUBBLE_SORT,400,Parallel,8,15913135
BUBBLE_SORT,500,Serial,1,33050